name,mean_generation,estado,federacao,tres_rios,belmiro_braga,jambeiro,juiz_de_fora,pirai,redencao_da_serra,areal,sao_jose_dos_campos,natividade_da serra,carmo,municipio,areias,santa_isabel,alem_paraiba,barra_do_pirai,sao_jose_do_vale_do_rio_preto,simao_pereira,chiador,santa_branca,queluz,sapucaia,igarata,jacarei,rio_claro,itatiaia,resende,petropolis,sao_jose_do_barreiro,paraibuna
paraibuna,33398.975316792785,39661.283188691435,15864.513275476575,0.0,0.0,0.0,0.0,0.0,6524.208464730223,0.0,0.0,35686.78280921528,0.0,118983.8495660743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35128.5109440028
simplicio,135349.82572639594,160727.91805009518,64291.16722003807,120447.5007241616,0.9209709704270452,0.0,27.91843936530153,0.0,0.0,419.99603319376905,0.0,0.0,0.0,482183.7541502855,0.0,0.0,52787.1180792642,0.0,229.87869387237785,40.6963088502841,135110.55004941666,0.0,0.0,4599.960687030602,0.0,0.0,0.0,0.0,0.0,406.70897766440373,0.0,0.0
sta_branca,17668.23670170973,20981.031083280304,8392.412433312122,0.0,0.0,8708.269540405661,0.0,0.0,205.89044577654485,0.0,0.0,1126.2006098259099,0.0,62943.09324984091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9814.0385703903,0.0,0.0,0.0,10274.1435811843,0.0,0.0,0.0,0.0,0.0,10784.467864813874
jaguari,9115.843436888854,10825.064081305514,4330.025632522206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441.925401769152,0.0,0.0,32475.192243916543,0.0,2354.804280647679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6902.238454241714,5409.9068543624,0.0,0.0,0.0,0.0,0.0,0.0
ilha_dos_pombos,70888.75266777328,84180.39379298077,33672.15751719231,31.543403718955414,0.429320008344202,0.0,12.955362604739742,0.0,0.0,194.98300548377932,0.0,0.0,79888.82983967251,252541.18137894233,0.0,0.0,71241.22909543429,0.0,106.72087275656449,18.890080367144886,0.0,0.0,0.0,12486.076691736416,0.0,0.0,0.0,0.0,0.0,188.81443458741725,0.0,0.0
funil,84766.97922053063,100660.78782438012,40264.31512975205,0.0,0.0,224.2524050975175,0.0,0.0,717.0236020246264,0.0,779.7879184312474,3922.0481885562917,0.0,301982.3634731404,4473.963839299069,285.0462865824762,0.0,0.0,0.0,0.0,0.0,252.7278320612173,19735.364617245283,0.0,835.5081942274938,919.4396624194012,0.0,28187.891738477552,122686.45332364725,0.0,9159.144712993973,4109.86340167714
sobragi,29677.852252821685,35242.44955022575,14096.9798200903,0.0,47622.56073548362,0.0,107.41369986165556,0.0,0.0,0.0,0.0,0.0,0.0,105727.34865067725,0.0,0.0,0.0,0.0,0.0,20992.802293322286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nilo_pecanha,255863.2294403658,303837.5849604344,121535.03398417377,0.0,0.0,2848.5785369198643,0.0,302994.7744410765,9107.953031919364,0.0,9905.194901797726,49819.611962384355,0.0,911512.7548813033,602.398726420446,3620.780239908884,0.0,111671.1868201254,0.0,0.0,0.0,3210.288674362883,2657.276620514661,0.0,10612.978175373773,11679.142741812013,0.0,3795.370481466094,16519.16973475217,0.0,1233.2366507931886,52205.34802170712
picada,24155.87468287064,28685.101185908883,11474.040474363554,0.0,0.0,0.0,55935.947312522316,0.0,0.0,0.0,0.0,0.0,0.0,86055.30355772664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pereira_passos,40309.99268870152,47868.11631783305,19147.246527133222,0.0,0.0,680.7554109836201,0.0,32775.819617112786,2176.6290676318063,0.0,2367.1557067928143,11905.94792699322,0.0,143604.34895349917,143.96192378239337,865.2984877367828,0.0,16709.126529371686,0.0,0.0,0.0,767.1971872100853,635.0386792855758,0.0,2536.3028176903235,2791.094413468908,1362.8960295172458,907.0215824904303,3947.7684229019237,0.0,294.72021058770906,12476.092662612802
