name,mean_generation,estado,federacao,tres_rios,belmiro_braga,jambeiro,juiz_de_fora,pirai,redencao_da_serra,areal,sao_jose_dos_campos,natividade_da serra,carmo,municipio,areias,santa_isabel,alem_paraiba,barra_do_pirai,sao_jose_do_vale_do_rio_preto,simao_pereira,chiador,santa_branca,queluz,sapucaia,igarata,jacarei,rio_claro,itatiaia,resende,petropolis,sao_jose_do_barreiro,paraibuna
paraibuna,33214.97319079301,2760.9946464846694,1104.3978585938678,0.0,0.0,0.0,0.0,0.0,454.17856396553043,0.0,0.0,2484.312366237271,0.0,8282.983939454009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.4486304423044
simplicio,135653.94388042082,11276.234085059981,4510.493634023993,845.0269434229591,0.0646128213073937,0.0,1.9586818605749188,0.0,0.0,29.465780696627135,0.0,0.0,0.0,33828.702255179945,0.0,0.0,3703.4007990569658,0.0,16.127664656645763,2.8551424703371877,9478.989140166572,0.0,0.0,322.7207452090784,0.0,0.0,0.0,0.0,0.0,28.53359697728339,0.0,0.0
sta_branca,17681.34895280875,1469.7621317022272,587.9048526808909,0.0,0.0,610.0312588232965,0.0,0.0,14.423027127718475,0.0,0.0,78.89254834292376,0.0,4409.286395106681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.4925351652231,0.0,0.0,0.0,719.7237881854984,0.0,0.0,0.0,0.0,0.0,755.4729991746824
jaguari,8984.891222599987,746.8690828786239,298.7476331514496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.45694553445935,0.0,0.0,2240.6072486358717,0.0,162.4683697238571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.2159803775843,373.253418218023,0.0,0.0,0.0,0.0,0.0,0.0
ilha_dos_pombos,70921.52021902,5895.351368206038,2358.1405472824154,2.2090589018832216,0.0300662919778508,0.0,0.9072945755669094,0.0,0.0,13.655119397309974,0.0,0.0,5594.8030304767235,17686.054104618117,0.0,0.0,4989.191170254048,0.0,7.473914231962361,1.322916847025435,0.0,0.0,0.0,874.4293770967323,0.0,0.0,0.0,0.0,0.0,13.223119839750572,0.0,0.0
funil,84869.3950519781,7054.76846369568,2821.9073854782723,0.0,0.0,15.716634347726627,0.0,0.0,50.25229391323777,0.0,54.65110431002669,274.8750776915756,0.0,21164.30539108704,313.5558511251527,19.977347651838706,0.0,0.0,0.0,0.0,0.0,17.71232252457918,1383.1446279179263,0.0,58.55623611926312,64.43853733813489,0.0,1975.5363929956804,859.8427853956333,0.0,641.9147581915204,288.0380269508137
sobragi,29677.852252821685,2466.971468515803,986.7885874063212,0.0,3333.5792514838536,0.0,7.518958990315889,0.0,0.0,0.0,0.0,0.0,0.0,7400.914405547408,0.0,0.0,0.0,0.0,0.0,1469.49616053256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nilo_pecanha,257726.80435327493,21423.54061186598,8569.416244746393,0.0,0.0,200.85282727526732,0.0,21364.114173915837,642.2003442915114,0.0,698.4137438913115,3512.7730503865423,0.0,64270.62183559794,42.4750400174663,255.30064862262168,0.0,7873.917923379247,0.0,0.0,0.0,226.35695251455664,187.3641590587649,0.0,748.3194318523005,823.4945287416351,0.0,267.6109792583903,1164.7640752965274,0.0,86.95532343620324,3680.9909269298605
picada,24155.87468287064,2007.957083013622,803.1828332054488,0.0,0.0,0.0,3915.516311876563,0.0,0.0,0.0,0.0,0.0,0.0,6023.871249040866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pereira_passos,40501.24610477744,3366.666082459625,1346.6664329838502,0.0,0.0,47.878970991711824,0.0,2305.1928656870878,153.08693593530253,0.0,166.48707831001772,837.3705536937053,0.0,10099.998247378875,10.125147243014847,60.85827673945347,0.0,1175.1882856732502,0.0,0.0,0.0,53.95860433673206,44.66361634966227,0.0,178.38355314565965,196.30358613605233,95.85536656651787,63.79275043024342,277.6549209194095,0.0,20.7282971030834,877.4700414353665
