light_generation,light_generation_critical,name,ps_average_reservoir,ps_average_reservoir_critical,total_generation,total_generation_critical,total_spillage,total_turbining_violations,turbining_ratio,turbining_ratio_critical
822.1920637736803,770.2145044057264,base_results,0.7961580039171968,0.7230111985627293,1019.4984131332372,956.8976763450787,449054.6756981677,1855.4553071078458,0.8137072797678593,0.8246900347863092
815.6918294812958,762.3926403753666,trial_130_0%_2.0,0.8135272629753837,0.7425691765935628,1013.3935753217595,948.27692156255,447222.58321093395,2330.580563584601,0.8141007417400803,0.8249691637250864
820.4770873614217,762.2235636461292,trial_130_100%_0.5,0.8110585368685831,0.7850559330247197,1017.1371189800193,947.0418284331106,446789.16987498454,4974.767011621915,0.8143893540533413,0.8245591752844551
821.926656430858,764.5158437189444,trial_130_100%_1.0,0.7897485974801145,0.7595347465379405,1017.6152460353064,948.9635950888697,445860.680777775,3769.1304294613465,0.8149127513722314,0.825029644584213
822.9162774487261,765.7123237711079,trial_130_100%_1.5,0.7727260899561494,0.7378120702393633,1017.9934854475293,950.0778836256608,444946.5256125117,3381.0860087220262,0.8153921968842291,0.8255514209099438
823.7426809736238,767.3306216451494,trial_130_100%_2.0,0.758337927373902,0.7196363262960049,1018.4511867032005,952.3035989311055,444078.892450617,3137.231642123641,0.8158375585067776,0.8260271315018048
816.8544773490148,762.3849791798087,trial_130_20%_1.5,0.8156480205707007,0.7530072422748403,1014.4290331533696,947.4267201106903,446733.87926308124,2484.0947886535196,0.81431667631492,0.8252891463126169
817.7497541769264,764.1170275328521,trial_130_20%_2.0,0.8047578544119098,0.7357488483403549,1015.0204464325991,949.6162515700637,445912.64285331394,2419.8317641853337,0.814751561922418,0.8253837156100386
818.7626212267077,763.9586050886479,trial_130_40%_1.5,0.8068680198500005,0.7474248960209421,1015.7701006845768,948.5240413162949,445776.28205193847,2602.2138161735447,0.8148118964194715,0.8255909316978536
819.5893718198894,765.805517184588,trial_130_40%_2.0,0.7948338222541216,0.7293658714221637,1016.2133389988471,950.660048350287,445055.90492840763,2550.121707487516,0.8152036070419071,0.8255587715031675
819.7810642210216,763.0870342458531,trial_130_60%_1.0,0.8104844405774245,0.7640574754208712,1016.81120719025,947.1484001487605,445394.2391491309,2997.1614977459385,0.8149754544620658,0.825476890633076
820.4196163696055,764.7551482823119,trial_130_60%_1.5,0.7961081783348528,0.7437007495322951,1016.9526751981431,949.201673311984,444843.70813251595,2761.633468834121,0.815289986025163,0.825872312902239
821.1856553593799,766.7036839223805,trial_130_60%_2.0,0.7831444303107691,0.724937114588546,1017.339495217264,951.4092025159629,444128.024842455,2699.22666638817,0.8156763522600098,0.8257911216266419
820.0776035544347,761.1080933621591,trial_130_80%_0.5,0.8178397532770096,0.7845504482848312,1017.3649199964688,945.8119871073412,445790.9787494682,3862.8838817467035,0.8147785304999883,0.8250175390780278
821.1012763109505,763.5378172897471,trial_130_80%_1.0,0.7998785876423414,0.7611633768132989,1017.6756195335406,948.0054355828435,444910.17082491145,3267.038880618711,0.8152561509661028,0.8256571442952282
821.8137265675003,765.1582499369445,trial_130_80%_1.5,0.7843077420914776,0.7406836948156634,1017.7520746006228,949.4331076268212,444456.4009535826,2995.976717230734,0.8155303506585341,0.825758265611306
822.5649954423616,767.0075522538925,trial_130_80%_2.0,0.7707010701471367,0.7220988571597484,1017.9917749515089,951.6511443347517,444002.60482048616,2899.0469611320805,0.8158050408028836,0.8258876520744219
817.6575323268684,766.0309945225902,trial_150_0%_2.0,0.7927953134717801,0.7140059824041438,1014.7617133523815,952.3196010347067,445947.8763326322,2187.734942878171,0.8148210467961167,0.824847717440143
821.4004534697373,763.3534886385912,trial_150_100%_0.5,0.8016658222783781,0.775839884241953,1017.7884505752181,948.0554955473488,445962.65123151144,4065.966939444893,0.8147937864500288,0.8249177064309176
822.4942743302845,765.4061153055574,trial_150_100%_1.0,0.7786381976739152,0.7463357014765591,1017.8179596373456,949.655560972134,445418.267144229,3294.1292998666695,0.8151490276235313,0.8254000513860772
823.5853028709043,767.1125672979008,trial_150_100%_1.5,0.7603615125385461,0.7228169380104853,1018.4106182955308,951.729730260993,444169.1682001972,3046.8270146300633,0.8157791654843883,0.8258928877084093
824.3880533563723,769.3764223250049,trial_150_100%_2.0,0.7447270108236546,0.7015455140798322,1018.8313979053627,954.8225377820838,443247.0792432782,2848.4782102797626,0.8162525725111991,0.8262207398526291
818.3275038926292,765.1279131782303,trial_150_20%_1.5,0.7976837894740516,0.7272139392248603,1015.3214707355924,950.8485658652196,445595.71603838954,2340.5909766470327,0.8149401399419198,0.825251742585755
819.289388044552,767.3352362131807,trial_150_20%_2.0,0.7843651292059954,0.7090247924729198,1015.7693371862864,953.3844995585077,445280.97840832337,2228.3342861925926,0.8151744832391624,0.8252422970885196
819.8563464659136,766.3508346466348,trial_150_40%_1.5,0.7895102222314015,0.7235925547031409,1016.2866980129766,951.4741059426807,444948.8944158934,2476.083611200771,0.8152805794024715,0.8255679610977638
820.794078696598,768.6700196664492,trial_150_40%_2.0,0.7755634847987372,0.705609794926755,1016.7578905853647,954.3158715578995,444515.3534631405,2351.228310976172,0.8155634202393286,0.8256736171740536
